"Total (Mil pessoas)","Total (Percentual)","Grupo de Idade","M̻s"
3573,9.73,"10 a 14 anos",2003-01-01
3621,9.84,"10 a 14 anos",2003-02-01
3610,9.8,"10 a 14 anos",2003-03-01
3633,9.85,"10 a 14 anos",2003-04-01
3623,9.8,"10 a 14 anos",2003-05-01
3621,9.81,"10 a 14 anos",2003-06-01
3564,9.63,"10 a 14 anos",2003-07-01
3595,9.7,"10 a 14 anos",2003-08-01
3631,9.8,"10 a 14 anos",2003-09-01
3607,9.7,"10 a 14 anos",2003-10-01
3609,9.69,"10 a 14 anos",2003-11-01
2341,6.37,"15 a 17 anos",2003-01-01
2366,6.43,"15 a 17 anos",2003-02-01
2389,6.48,"15 a 17 anos",2003-03-01
2350,6.37,"15 a 17 anos",2003-04-01
2432,6.58,"15 a 17 anos",2003-05-01
2399,6.5,"15 a 17 anos",2003-06-01
2384,6.44,"15 a 17 anos",2003-07-01
2356,6.36,"15 a 17 anos",2003-08-01
2295,6.19,"15 a 17 anos",2003-09-01
2311,6.21,"15 a 17 anos",2003-10-01
2329,6.25,"15 a 17 anos",2003-11-01
5737,15.62,"18 a 24 anos",2003-01-01
5682,15.44,"18 a 24 anos",2003-02-01
5690,15.45,"18 a 24 anos",2003-03-01
5747,15.58,"18 a 24 anos",2003-04-01
5716,15.46,"18 a 24 anos",2003-05-01
5827,15.79,"18 a 24 anos",2003-06-01
5835,15.77,"18 a 24 anos",2003-07-01
5895,15.91,"18 a 24 anos",2003-08-01
5919,15.97,"18 a 24 anos",2003-09-01
5896,15.85,"18 a 24 anos",2003-10-01
5881,15.79,"18 a 24 anos",2003-11-01
16585,45.14,"25 a 49 anos",2003-01-01
16530,44.91,"25 a 49 anos",2003-02-01
16623,45.12,"25 a 49 anos",2003-03-01
16587,44.96,"25 a 49 anos",2003-04-01
16633,44.99,"25 a 49 anos",2003-05-01
16603,44.98,"25 a 49 anos",2003-06-01
16585,44.82,"25 a 49 anos",2003-07-01
16634,44.9,"25 a 49 anos",2003-08-01
16648,44.91,"25 a 49 anos",2003-09-01
16690,44.87,"25 a 49 anos",2003-10-01
16621,44.64,"25 a 49 anos",2003-11-01
8504,23.15,"50 anos ou mais",2003-01-01
8610,23.39,"50 anos ou mais",2003-02-01
8527,23.15,"50 anos ou mais",2003-03-01
8572,23.24,"50 anos ou mais",2003-04-01
8563,23.16,"50 anos ou mais",2003-05-01
8458,22.92,"50 anos ou mais",2003-06-01
8638,23.34,"50 anos ou mais",2003-07-01
8569,23.13,"50 anos ou mais",2003-08-01
8574,23.13,"50 anos ou mais",2003-09-01
8695,23.37,"50 anos ou mais",2003-10-01
8795,23.62,"50 anos ou mais",2003-11-01
36740,100,"Total",2003-01-01
36809,100,"Total",2003-02-01
36839,100,"Total",2003-03-01
36889,100,"Total",2003-04-01
36967,100,"Total",2003-05-01
36908,100,"Total",2003-06-01
37006,100,"Total",2003-07-01
37049,100,"Total",2003-08-01
37067,100,"Total",2003-09-01
37199,100,"Total",2003-10-01
37235,100,"Total",2003-11-01
